着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
1,2,2,"
マイネルディアベル
",牡3,56,"
柴田大知
",1:21.9,,"

**

",4-4,34.1,4.1,2,448(+2),"

","

","
","
[東]
大和田成
","
サラブレッドクラブ・ラフィアン
",1927.3,201405010110
2,8,12,"
タガノブルグ
",牡3,56,"
戸崎圭太
",1:21.9,アタマ,"

**

",12-11,33.1,12.9,5,432(-6),"

","

","



","
[西]
鮫島一歩
","
八木良司
",767.8,201405010110
3,3,3,"
ツィンクルソード
",牡3,56,"
内田博幸
",1:21.9,ハナ,"

**

",5-5,33.9,5.1,3,480(+2),"

","

","



","
[西]
松永昌博
","
サンデーレーシング
",483.9,201405010110
4,5,5,"
シゲルカガ
",牡3,56,"
北村宏司
",1:22.0,クビ,"

**

",1-1,34.6,7.2,4,500(0),"

","

","
","
[西]
谷潔
","
森中蕃
",290,201405010110
5,5,6,"
キタサンラブコール
",牡3,56,"
横山典弘
",1:22.2,1.1/4,"

**

",7-7,33.9,23.6,8,462(+4),"

","

","
","
[西]
昆貢
","
大野商事
",190,201405010110
6,4,4,"
アポロスターズ
",牡3,57,"
勝浦正樹
",1:22.2,クビ,"

**

",7-7,34,26.5,9,494(+4),"

","

","
","
[東]
堀井雅広
","
アポロサラブレッドクラブ
",,201405010110
7,7,10,"
ニシケンモノノフ
",牡3,57,"
国分恭介
",1:22.3,1/2,"

**

",7-7,34,49.3,10,490(-8),"

","

","
","
[西]
領家政蔵
","
西森鶴
",,201405010110
8,6,7,"
アスコルティ
",牝3,54,"
後藤浩輝
",1:22.4,3/4,"

**

",2-2,34.8,2.6,1,446(-2),"

","

","
","
[東]
国枝栄
","
サンデーレーシング
",,201405010110
9,8,11,"
エルカミーノレアル
",牡3,57,"
武豊
",1:22.4,クビ,"

**

",10-10,33.9,18.4,6,466(-2),"

","

","
","
[西]
小崎憲
","
広尾レース
",,201405010110
10,6,8,"
フレンチフェロー
",セ3,56,"
木幡初広
",1:22.5,クビ,"

**

",11-11,33.7,85.5,11,448(+2),"

","

","
","
[東]
清水美波
","
鈴木芳夫
",,201405010110
11,1,1,"
ウインスプラッシュ
",牡3,57,"
中井裕二
",1:22.5,クビ,"

**

",3-2,34.8,20.8,7,482(+12),"

","

","



","
[西]
加用正
","
ウイン
",,201405010110
12,7,9,"
クインズセブン
",牡3,56,"
大野拓弥
",1:22.6,3/4,"

**

",5-5,34.5,139.4,12,488(-6),"

","

","
","
[東]
松山康久
","
クイーンズ・ランチ
",,201405010110
1,4,6,"
エアソミュール
",牡5,57,"
戸崎圭太
",1:59.8,,"

**

",4-3-3,33.7,3.9,2,496(+2),"

","

","
","
[西]
角居勝彦
","
ラッキーフィールド
",2229.4,201405010111
2,3,4,"
アロマカフェ
",牡7,56,"
田中勝春
",2:00.1,2,"

**

",5-6-6,33.7,10.1,6,476(0),"

","

","
","
[東]
小島太
","
西川光一
",888.4,201405010111
3,6,10,"
サムソンズプライド
",牡4,54,"
田辺裕信
",2:00.2,1/2,"

**

",2-2-2,34.3,7.1,3,472(-8),"

","

","
","
[東]
杉浦宏昭
","
シルク
",554.2,201405010111
4,5,8,"
セイクリッドバレー
",牡8,58,"
ブノワ
",2:00.2,クビ,"

**

",7-7-8,33.5,39.2,10,492(0),"

","

","



","
[東]
高橋裕
","
吉田勝己
",330,201405010111
5,7,12,"
ワールドエース
",牡5,56,"
武豊
",2:00.2,ハナ,"

**

",7-7-7,33.7,3.1,1,450(+4),"

","

","
","
[西]
池江泰寿
","
サンデーレーシング
",220,201405010111
6,1,1,"
ゼロス
",牡5,56,"
国分恭介
",2:00.4,1.1/4,"

**

",1-1-1,35.7,9,4,508(+2),"

","

","



","
[西]
領家政蔵
","
杉澤光雄
",,201405010111
7,2,2,"
ミヤジタイガ
",牡4,55,"
松岡正海
",2:00.5,3/4,"

**

",3-3-3,34.4,22.3,9,494(-6),"

","

","
","
[西]
岩元市三
","
曽我司
",,201405010111
8,3,3,"
ヒラボクディープ
",牡4,56,"
蛯名正義
",2:00.6,1/2,"

**

",11-12-12,33.3,15.8,7,496(+14),"

","

","



","
[東]
国枝栄
","
平田牧場
",,201405010111
9,4,5,"
メイショウウズシオ
",牡7,56,"
四位洋文
",2:00.7,1/2,"

**

",10-10-10,33.7,99.4,12,476(0),"

","

","
","
[西]
飯田明弘
","
松本好雄
",,201405010111
10,6,9,"
ニシノメイゲツ
",牡7,56,"
江田照男
",2:00.8,1/2,"

**

",14-13-12,33.5,377.2,14,452(+6),"

","

","
","
[東]
田村康仁
","
西山茂行
",,201405010111
11,7,11,"
モンテエン
",牡7,56,"
後藤浩輝
",2:00.8,ハナ,"

**

",11-11-10,33.8,45.9,11,484(-2),"

","

","



","
[東]
松山康久
","
毛利喜昭
",,201405010111
12,8,13,"
ペルーサ
",牡7,57,"
北村宏司
",2:00.8,クビ,"

**

",13-13-12,33.5,9.3,5,518(0),"

","

","



","
[東]
藤沢和雄
","
山本英俊
",,201405010111
13,8,14,"
レインスティック
",牡7,57,"
武士沢友
",2:00.9,クビ,"

**

",9-9-8,34.2,22.3,8,464(-12),"

","

","
","
[東]
勢司和浩
","
社台レースホース
",,201405010111
14,5,7,"
イケドラゴン
",牡9,56,"
大野拓弥
",2:01.6,4,"

**

",5-5-5,35.3,257.2,13,550(+6),"

","

","
","
[東]
石毛善彦
","
フジワラ・ファーム
",,201405010111
1,1,1,"
バーディーイーグル
",牡4,57,"
戸崎圭太
",1:38.4,,"

**

",3-3,36.2,2.7,1,484(-4),"

","

","
","
[東]
国枝栄
","
里見美惠子
",750,201405010112
2,7,14,"
ケンブリッジサン
",牡4,57,"
ブノワ
",1:38.5,3/4,"

**

",1-1,36.7,6.5,3,486(+2),"

","

","
","
[東]
星野忍
","
中西宏彰
",300,201405010112
