着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
1,2,2,マイネルディアベル,牡3,56,柴田大知,1:21.9,,**,4-4,34.1,4.1,2,448(+2),,,,大和田成,サラブレッドクラブ・ラフィアン,"1,927.3",201405010110,東
2,8,12,タガノブルグ,牡3,56,戸崎圭太,1:21.9,アタマ,**,12-11,33.1,12.9,5,432(-6),,,,鮫島一歩,八木良司,767.8,201405010110,西
3,3,3,ツィンクルソード,牡3,56,内田博幸,1:21.9,ハナ,**,5-5,33.9,5.1,3,480(+2),,,,松永昌博,サンデーレーシング,483.9,201405010110,西
4,5,5,シゲルカガ,牡3,56,北村宏司,1:22.0,クビ,**,1-1,34.6,7.2,4,500(0),,,,谷潔,森中蕃,290.0,201405010110,西
5,5,6,キタサンラブコール,牡3,56,横山典弘,1:22.2,1.1/4,**,7-7,33.9,23.6,8,462(+4),,,,昆貢,大野商事,190.0,201405010110,西
6,4,4,アポロスターズ,牡3,57,勝浦正樹,1:22.2,クビ,**,7-7,34.0,26.5,9,494(+4),,,,堀井雅広,アポロサラブレッドクラブ,,201405010110,東
7,7,10,ニシケンモノノフ,牡3,57,国分恭介,1:22.3,1/2,**,7-7,34.0,49.3,10,490(-8),,,,領家政蔵,西森鶴,,201405010110,西
8,6,7,アスコルティ,牝3,54,後藤浩輝,1:22.4,3/4,**,2-2,34.8,2.6,1,446(-2),,,,国枝栄,サンデーレーシング,,201405010110,東
9,8,11,エルカミーノレアル,牡3,57,武豊,1:22.4,クビ,**,10-10,33.9,18.4,6,466(-2),,,,小崎憲,広尾レース,,201405010110,西
10,6,8,フレンチフェロー,セ3,56,木幡初広,1:22.5,クビ,**,11-11,33.7,85.5,11,448(+2),,,,清水美波,鈴木芳夫,,201405010110,東
11,1,1,ウインスプラッシュ,牡3,57,中井裕二,1:22.5,クビ,**,3-2,34.8,20.8,7,482(+12),,,,加用正,ウイン,,201405010110,西
12,7,9,クインズセブン,牡3,56,大野拓弥,1:22.6,3/4,**,5-5,34.5,139.4,12,488(-6),,,,松山康久,クイーンズ・ランチ,,201405010110,東
1,4,6,エアソミュール,牡5,57,戸崎圭太,1:59.8,,**,4-3-3,33.7,3.9,2,496(+2),,,,角居勝彦,ラッキーフィールド,"2,229.4",201405010111,西
2,3,4,アロマカフェ,牡7,56,田中勝春,2:00.1,2,**,5-6-6,33.7,10.1,6,476(0),,,,小島太,西川光一,888.4,201405010111,東
3,6,10,サムソンズプライド,牡4,54,田辺裕信,2:00.2,1/2,**,2-2-2,34.3,7.1,3,472(-8),,,,杉浦宏昭,シルク,554.2,201405010111,東
4,5,8,セイクリッドバレー,牡8,58,ブノワ,2:00.2,クビ,**,7-7-8,33.5,39.2,10,492(0),,,,高橋裕,吉田勝己,330.0,201405010111,東
5,7,12,ワールドエース,牡5,56,武豊,2:00.2,ハナ,**,7-7-7,33.7,3.1,1,450(+4),,,,池江泰寿,サンデーレーシング,220.0,201405010111,西
6,1,1,ゼロス,牡5,56,国分恭介,2:00.4,1.1/4,**,1-1-1,35.7,9.0,4,508(+2),,,,領家政蔵,杉澤光雄,,201405010111,西
7,2,2,ミヤジタイガ,牡4,55,松岡正海,2:00.5,3/4,**,3-3-3,34.4,22.3,9,494(-6),,,,岩元市三,曽我司,,201405010111,西
8,3,3,ヒラボクディープ,牡4,56,蛯名正義,2:00.6,1/2,**,11-12-12,33.3,15.8,7,496(+14),,,,国枝栄,平田牧場,,201405010111,東
9,4,5,メイショウウズシオ,牡7,56,四位洋文,2:00.7,1/2,**,10-10-10,33.7,99.4,12,476(0),,,,飯田明弘,松本好雄,,201405010111,西
10,6,9,ニシノメイゲツ,牡7,56,江田照男,2:00.8,1/2,**,14-13-12,33.5,377.2,14,452(+6),,,,田村康仁,西山茂行,,201405010111,東
11,7,11,モンテエン,牡7,56,後藤浩輝,2:00.8,ハナ,**,11-11-10,33.8,45.9,11,484(-2),,,,松山康久,毛利喜昭,,201405010111,東
12,8,13,ペルーサ,牡7,57,北村宏司,2:00.8,クビ,**,13-13-12,33.5,9.3,5,518(0),,,,藤沢和雄,山本英俊,,201405010111,東
13,8,14,レインスティック,牡7,57,武士沢友,2:00.9,クビ,**,9-9-8,34.2,22.3,8,464(-12),,,,勢司和浩,社台レースホース,,201405010111,東
14,5,7,イケドラゴン,牡9,56,大野拓弥,2:01.6,4,**,5-5-5,35.3,257.2,13,550(+6),,,,石毛善彦,フジワラ・ファーム,,201405010111,東
1,1,1,バーディーイーグル,牡4,57,戸崎圭太,1:38.4,,**,3-3,36.2,2.7,1,484(-4),,,,国枝栄,里見美惠子,750.0,201405010112,東
2,7,14,ケンブリッジサン,牡4,57,ブノワ,1:38.5,3/4,**,1-1,36.7,6.5,3,486(+2),,,,星野忍,中西宏彰,300.0,201405010112,東
3,2,3,ブルーイングリーン,牡5,57,ベリー,1:39.4,5,**,8-8,36.9,17.2,8,494(0),,,,手塚貴久,青芝商事,190.0,201405010112,東
4,6,11,ヴァルディヴィア,牡6,57,内田博幸,1:39.8,2.1/2,**,3-3,37.7,14.1,6,512(+4),,,,二ノ宮敬,社台レースホース,110.0,201405010112,東
5,7,13,セツナ,牡4,57,石橋脩,1:39.9,クビ,**,13-14,36.8,15.9,7,500(+2),,,,田村康仁,林正道,75.0,201405010112,東
6,4,7,グランデアリュール,牡4,57,木幡初広,1:40.0,3/4,**,8-8,37.5,6.8,4,494(-4),,,,金成貴史,吉野弘司,,201405010112,東
7,1,2,コスモソーク,牡4,57,柴田大知,1:40.1,1/2,**,8-8,37.6,26.2,9,558(-16),,,,畠山吉宏,ビッグレッドファーム,,201405010112,東
8,3,5,ポッドスター,牡4,57,江田照男,1:40.3,3/4,**,3-7,38.0,46.2,10,498(+12),,,,畠山吉宏,小川眞査雄,,201405010112,東
9,5,10,ハイエストクライム,牡7,57,三浦皇成,1:40.3,クビ,**,13-12,37.5,64.8,11,514(-2),,,,萩原清,前田葉子,,201405010112,東
10,2,4,ポークチョップ,牝4,55,吉田隼人,1:40.4,1/2,**,2-2,38.4,92.1,12,462(0),,,,菅原泰夫,鈴木照雄,,201405010112,東
11,4,8,アンルーリー,牝4,55,大野拓弥,1:40.7,1.3/4,**,3-3,38.5,6.0,2,480(0),,,,高木登,ディアレスト,,201405010112,東
12,6,12,ディーエスタイド,牡4,57,勝浦正樹,1:40.8,1/2,**,3-3,38.7,8.4,5,494(0),,,,藤原辰雄,秋谷壽之,,201405010112,東
13,8,15,ヒアルロンサン,牝4,55,大庭和弥,1:41.0,1,**,16-15,37.8,252.0,14,456(-4),,,,伊藤伸一,ミルファーム,,201405010112,東
14,8,16,エッフェル,牡4,57,丸田恭介,1:41.0,クビ,**,12-12,38.2,305.6,15,510(+6),,,,高橋祥泰,小田切光,,201405010112,東
15,5,9,サワキック,牝5,55,西田雄一,1:41.1,クビ,**,15-15,37.8,387.4,16,516(-4),,,,柴田政人,井上久光,,201405010112,東
16,3,6,エムオーキャプテン,牡5,56,横山和生,1:41.1,ハナ,**,8-8,38.6,159.1,13,474(-10),,,,尾形和幸,大浅貢,,201405010112,東
1,2,4,ケイアイエレガント,牝5,53,吉田豊,1:34.0,,**,1-2,33.4,25.4,10,528(+14),,,,尾形充弘,亀田和弘,"1,825.7",201405010210,東
2,4,8,ホーカーテンペスト,牡5,57,ブノワ,1:34.5,3,**,11-10,33.4,18.2,8,498(0),,,,藤沢和雄,キャロットファーム,730.2,201405010210,東
3,7,13,アドマイヤドバイ,牡4,56,池添謙一,1:34.5,クビ,**,4-2,33.9,2.9,1,462(+10),,,,橋田満,近藤利一,455.1,201405010210,西
4,1,1,オールアズワン,牡6,55,国分恭介,1:34.6,クビ,**,4-5,33.7,41.1,13,484(-14),,,,領家政蔵,宮川純造,270.0,201405010210,西
5,4,7,タガノエンブレム,牡4,55,北村友一,1:34.6,ハナ,**,15-15,32.9,8.3,4,454(-12),,,,松田博資,八木良司,179.0,201405010210,西
6,6,11,ターフェル,牡6,54,田辺裕信,1:34.7,3/4,**,11-10,33.5,40.5,12,504(-18),,,,今野貞一,伊達敏明,,201405010210,西
7,5,9,マイネルアダマス,牡5,55,柴田大知,1:34.7,ハナ,**,2-1,34.1,29.3,11,432(0),,,,菅原泰夫,サラブレッドクラブ・ラフィアン,,201405010210,東
8,8,15,ダノンミル,セ6,55,北村宏司,1:34.7,ハナ,**,14-13,33.3,92.2,15,450(+2),,,,藤原英昭,ダノックス,,201405010210,西
9,6,12,ハーコット,牡5,55,三浦皇成,1:34.7,ハナ,**,3-2,34.1,14.3,7,474(+6),,,,鹿戸雄一,社台レースホース,,201405010210,東
10,3,5,フルアクセル,牡6,56,石橋脩,1:34.8,クビ,**,7-5,33.8,10.4,5,484(-2),,,,勢司和浩,山田和正,,201405010210,東
11,3,6,ダイワズーム,牝5,54,横山典弘,1:34.8,クビ,**,11-13,33.5,13.4,6,468(0),,,,鹿戸雄一,大城敬三,,201405010210,東
12,1,2,ドリームトレイン,牡5,55,蛯名正義,1:34.8,ハナ,**,7-10,33.7,19.1,9,498(+6),,,,谷潔,前田幸治,,201405010210,西
13,2,3,ショウナンマハ,牝6,53,勝浦正樹,1:35.0,1.1/4,**,4-5,34.1,91.0,14,458(-4),,,,須貝尚介,湘南,,201405010210,西
14,5,10,デウスウルト,セ6,55,藤岡康太,1:35.0,クビ,**,10-5,34.1,6.9,3,456(-8),,,,平田修,吉田勝己,,201405010210,西
15,7,14,サトノネプチューン,牡4,55,戸崎圭太,1:35.1,1/2,**,7-5,34.2,6.4,2,498(-2),,,,堀宣行,里見治,,201405010210,東
除,8,16,ピースピース,牡8,53,丸田恭介,,,**,,,---,,476(0),,,,和田雄二,高昭牧場,,201405010210,東
1,3,6,ゴールスキー,牡7,56,ベリー,1:23.4,,**,10-11,35.3,7.5,4,484(-4),,,,池江泰寿,社台レースホース,"3,757.4",201405010211,西
2,5,9,ノーザンリバー,牡6,57,蛯名正義,1:23.5,1/2,**,5-7,35.8,19.7,8,480(+2),,,,浅見秀一,林正道,"1,516.4",201405010211,西
3,7,14,シルクフォーチュン,牡8,56,横山典弘,1:23.5,クビ,**,16-16,34.9,14.0,5,472(0),,,,藤沢則雄,シルク,938.2,201405010211,西
4,7,13,ブライトライン,牡5,57,戸崎圭太,1:23.6,クビ,**,2-3,36.1,2.8,1,524(-4),,,,鮫島一歩,ノースヒルズ,560.0,201405010211,西
5,1,2,アドマイヤロイヤル,牡7,57,四位洋文,1:23.6,クビ,**,10-9,35.6,6.1,3,524(+4),,,,橋田満,近藤利一,370.0,201405010211,西
6,4,7,ジョーメテオ,牡8,56,坂井英光,1:23.7,クビ,**,15-15,35.3,406.9,14,512(0),,,,小久保智,上田けい子,,201405010211,地
